Name,City,State,Rank
Indian Institute of Technology Madras,Chennai,Tamil Nadu,1
Indian Institute of Technology Delhi,New Delhi,Delhi,2
Indian Institute of Technology Bombay,Mumbai,Maharashtra,3
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,4
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,5
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,6
Indian Institute of Technology Guwahati,Guwahati,Assam,7
Indian Institute of Technology Hyderabad,Hyderabad,Telangana,8
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,9
Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,10
Vellore Institute of Technology,Vellore,Tamil Nadu,11
Jadavpur University,Kolkata,West Bengal,12
S. R. M. Institute of Science and Technology,Chennai,Tamil Nadu,13
Anna University,Chennai,Tamil Nadu,14
Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,15
Indian Institute of Technology Indore,Indore,Madhya Pradesh,16
"National Institute of Technology Karnataka, Surathkal",Surathkal,Karnataka,17
Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,18
National Institute of Technology Rourkela,Rourkela,Odisha,19
"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,20
National Institute of Technology Warangal,Warangal,Telangana,21
Indian Institute of Technology Ropar,Rupnagar,Punjab,22
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,23
Jamia Millia Islamia,New Delhi,Delhi,24
National Institute of Technology Calicut,Kozhikode,Kerala,25
Siksha `O` Anusandhan,Bhubaneswar,Odisha,26
Delhi Technological University,New Delhi,Delhi,27
Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,28
Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,29
Amity University,Gautam Budh Nagar,Uttar Pradesh,30
Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,31
Chandigarh University,Mohali,Punjab,32
Aligarh Muslim University,Aligarh,Uttar Pradesh,33
Indian Institute of Technology Patna,Patna,Bihar,34
"Koneru Lakshmaiah Education Foundation University
(K L College of Engineering)",Vaddeswaram,Andhra Pradesh,35
Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,36
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,37
Shanmugha Arts Science Technology and Research Academy,Thanjavur,Tamil Nadu,38
Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,39
National Institute of Technology Silchar,Silchar,Assam,40
Institute of Chemical Technology,Mumbai,Maharashtra,41
UPES,Dehradun,Uttarakhand,42
Malaviya National Institute of Technology,Jaipur,Rajasthan,43
National Institute of Technology Durgapur,Durgapur,West Bengal,44
National Institute of Technology Delhi,Delhi,Delhi,45
Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,46
International Institute of Information Technology Hyderabad,Hyderabad,Telangana,47
Birla Institute of Technology,Ranchi,Jharkhand,48
"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,49
Lovely Professional University,Phagwara,Punjab,50
Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,51
Graphic Era University,Dehradun,Uttarakhand,52
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,53
Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,54
National Institute of Technology Patna,Patna,Bihar,55
Manipal Institute of Technology,Manipal,Karnataka,56
Netaji Subhas University of Technology (NSUT),Delhi,Delhi,57
Dr. B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,58
Sardar Vallabhbhai National Institute of Technology,SURAT,Gujarat,59
Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,60
Indian Institute of Technology Tirupati,Yerpedu,Andhra Pradesh,61
Indian Institute of Technology Jammu,Jammu,Jammu and Kashmir,62
Defence Institute of Advanced Technology,Pune,Maharashtra,63
Manipal University Jaipur,Jaipur,Rajasthan,64
Indian Institute of Technology Palakkad,Palakkad,Kerala,64
Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,66
PSG College of Technology,Coimbatore,Tamil Nadu,67
National Institute of Technology Meghalaya,Shillong,Meghalaya,68
Visvesvaraya Technological University,Belgaum,Karnataka,69
University of Hyderabad,Hyderabad,Telangana,70
