Name,City,State,Rank
Indian Institute of Management Ahmedabad,Ahmedabad,Gujarat,1
Indian Institute of Management Bangalore,Bengaluru,Karnataka,2
Indian Institute of Management Kozhikode,Kozhikode,Kerala,3
Indian Institute of Technology Delhi,New Delhi,Delhi,4
Indian Institute of Management Calcutta,Kolkata,West Bengal,5
Indian Institute of Management Mumbai,Mumbai,Maharashtra,6
Indian Institute of Management Lucknow,Lucknow,Uttar Pradesh,7
Indian Institute of Management Indore,Indore,Madhya Pradesh,8
XLRI – Xavier School of Management,Jamshedpur,Jharkhand,9
Indian Institute of Technology Bombay,Mumbai,Maharashtra,10
Management Development Institute,Gurugram,Haryana,11
Indian Institute of Management Rohtak,Rohtak,Haryana,12
Symbiosis Institute of Business Management,Pune,Maharashtra,13
Indian Institute of Management Raipur,Raipur,Chhattisgarh,14
Indian Institute of Foreign Trade,New Delhi,Delhi,15
Indian Institute of Technology Madras,Chennai,Tamil Nadu,16
Indian Institute of Management Ranchi,Ranchi,Jharkhand,17
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,18
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,19
SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,20
S. P. Jain Institute of Management and Research,Mumbai,Maharashtra,20
Indian Institute of Management Udaipur,Udaipur,Rajasthan,22
Indian Institute of Management Kashipur,Kashipur,Uttarakhand,23
Indian Institute of Management Shillong,Shillong,Meghalaya,24
Jamia Millia Islamia,New Delhi,Delhi,25
Indian Institute of Management Visakhapatnam,Visakhapatnam,Andhra Pradesh,26
Indian Institute of Management Tiruchirappalli,Tiruchirappalli,Tamil Nadu,27
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,28
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,29
Amity University,Gautam Budh Nagar,Uttar Pradesh,29
Indian Institute of Management Nagpur,Nagpur,Maharashtra,31
MICA,Ahmedabad,Gujarat,32
Indian Institute of Management Bodh Gaya,Gaya,Bihar,33
Great Lakes Institute of Management,Chennai,Tamil Nadu,34
Institute of Management Technology,Ghaziabad,Uttar Pradesh,35
Chandigarh University,Mohali,Punjab,36
Goa Institute of Management,Sanquelim,Goa,37
Lovely Professional University,Phagwara,Punjab,38
"ICFAI Foundation for Higher Education, Hyderabad",Hyderabad,Telangana,39
International Management Institute,New Delhi,Delhi,40
UPES,Dehradun,Uttarakhand,41
Indian Institute of Management Jammu (IIMJ),Jammu,Jammu and Kashmir,42
XIM University,Bhubaneswar,Odisha,43
Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,44
Jaipuria Institute of Management,Noida,Uttar Pradesh,45
Indian Institute of Technology (Indian School of Mines) Dhanbad,Dhanbad,Jharkhand,46
Indian Institute of Management Amritsar,Amritsar,Punjab,47
Banaras Hindu University,Varanasi,Uttar Pradesh,48
Institute of Rural Management Anand (IRMA),Anand,Gujarat,49
Indian Institute of Management Sambalpur,Sambalpur,Odisha,50
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,51
Great Lakes Institute of Management,Gurgaon,Haryana,52
Fore School of Management,New Delhi,Delhi,53
Chitkara University,Rajpura,Punjab,54
Nirma University,Ahmedabad,Gujarat,55
International Management Institute Kolkata,Kolkata,West Bengal,56
Indian Institute of Management Sirmaur,Sirmaur,Himachal Pradesh,57
"T. A. Pai Management Institute, Manipal",Manipal,Karnataka,58
Graphic Era University,Dehradun,Uttarakhand,59
Christ University,Bengaluru,Karnataka,60
"International Management Institute, Bhubaneswar",Bhubaneswar,Odisha,61
Siksha `O` Anusandhan,Bhubaneswar,Odisha,62
K J Somaiya Institute of Management Studies and Research,Mumbai,Maharashtra,63
Birla Institute of Management Technology,Greater Noida,Uttar Pradesh,64
Guru Gobind Singh Indraprastha University,New Delhi,Delhi,65
Loyola Institute of Business Administration,Chennai,Tamil Nadu,66
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,67
Malaviya National Institute of Technology,Jaipur,Rajasthan,68
Anna University,Chennai,Tamil Nadu,69
Aligarh Muslim University,Aligarh,Uttar Pradesh,70
Alliance University,Bengaluru,Karnataka,71
"Jaipuria Institute of Management, Lucknow",Lucknow,Uttar Pradesh,72
Manipal University Jaipur,Jaipur,Rajasthan,73
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,74
Jaipuria Institute of Management,Jaipur,Rajasthan,75
National Institute of Technology Calicut,Kozhikode,Kerala,76
"Jain University, Bangalore",Bengaluru,Karnataka,77
Jamia Hamdard,New Delhi,Delhi,78
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,79
PSG College of Technology,Coimbatore,Tamil Nadu,80
Cochin University of Science and Technology,Cochin,Kerala,81
Thiagarajar School of Management,Madurai,Tamil Nadu,82
BML Munjal University,Gurgaon,Haryana,83
Prin. L. N. Welingkar Institute of Management Development and Research (PGDM),Mumbai,Maharashtra,84
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,85
Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,86
Jagan Institute of Management Studies Technical Campus,Delhi,Delhi,87
New Delhi Institute of Management,Delhi,Delhi,88
Pandit Deendayal Energy University,Gandhinagar,Gujarat,89
Birla Institute of Technology,Ranchi,Jharkhand,90
National Institute of Bank Management,Pune,Maharashtra,91
Panjab University,Chandigarh,Chandigarh,92
Rajagiri Business School,Cochin,Kerala,93
Bharathidasan Institute of Management,Tiruchirappalli,Tamil Nadu,94
Tezpur University,Tezpur,Assam,95
National Institute of Agricultural Extension Management,Hyderabad,Telangana,96
Institute of Management Technology,Hyderabad,Telangana,97
Galgotias University,Gautam Budh Nagar,Uttar Pradesh,98
Krea University,Sri City,Andhra Pradesh,99
National Institute of Technology Warangal,Warangal,Telangana,100
