Name,City,State,Rank
Jamia Hamdard,New Delhi,Delhi,1
National Institute of Pharmaceutical Education and Research Hyderabad,Hyderabad,Telangana,2
"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,3
JSS College of Pharmacy,Ooty,Tamil Nadu,4
Institute of Chemical Technology,Mumbai,Maharashtra,5
JSS College of Pharmacy,Mysore,Karnataka,6
Panjab University,Chandigarh,Chandigarh,7
"Manipal College of Pharmaceutical Sciences, Manipal",Udupi,Karnataka,8
National Institute of Pharmaceutical Education and Research Mohali,Mohali,Punjab,9
SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,10
S. R. M. Institute of Science and Technology,Chennai,Tamil Nadu,11
National Institute of Pharmaceutical Education and Research Guwahati,Guwahati,Assam,12
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,13
National Institute of Pharmaceutical Education and Research Raebareli,Lucknow,Uttar Pradesh,14
National Institute of Pharmaceutical Education and Research Ahmedabad,Gandhinagar,Gujarat,15
Lovely Professional University,Phagwara,Punjab,16
Delhi Pharmaceutical Sciences and Research University,Delhi,Delhi,17
Jadavpur University,Kolkata,West Bengal,18
Chitkara University,Rajpura,Punjab,19
Chandigarh University,Mohali,Punjab,20
Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,21
Amity University,Gautam Budh Nagar,Uttar Pradesh,22
Central University of Punjab,Bathinda,Punjab,23
National Institute of Pharmaceutical Education and Research Kolkata,Kolkata,West Bengal,24
I. S. F. College of Pharmacy,Moga,Punjab,25
Maharishi Markandeshwar (Deemed to be University),Ambala,Haryana,26
Annamalai University,Annamalainagar,Tamil Nadu,27
Banasthali Vidyapith,Banasthali,Rajasthan,28
Central University of Rajasthan,Kishangarh,Rajasthan,29
Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,30
Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,31
Birla Institute of Technology,Ranchi,Jharkhand,32
National Institute Of Pharmaceutical Education And Research Hajipur,Hajipur,Bihar,33
"AU College of Pharmaceutical Sciences, Andhra University",Visakhapatnam,Andhra Pradesh,34
Poona College of Pharmacy,Pune,Maharashtra,35
Dr D Y Patil Institute of Pharmaceutical Sciences and Research,Pune,Maharashtra,36
Nirma University,Ahmedabad,Gujarat,37
Maharshi Dayanand University,Rohtak,Haryana,38
SVKM’s Dr. Bhanuben Nanavati College of Pharmacy,Mumbai,Maharashtra,39
Noida Institute of Engineering and Technology (Pharmacy Institute),Greater Noida,Uttar Pradesh,40
N.G.S.M. Institute of Pharmaceutical Sciences,Mangaluru,Karnataka,41
"KLE College of Pharmacy, Belgaum",Belgaum,Karnataka,42
Dibrugarh University,Dibrugarh,Assam,43
Maharaja Sayajirao University of Baroda,Vadodara,Gujarat,44
Integral University,Lucknow,Uttar Pradesh,45
Punjabi University,Patiala,Punjab,46
Parul University,Vadodara,Gujarat,47
Gandhi Institute of Technology and Management,Visakhapatnam,Andhra Pradesh,48
Suresh Gyan Vihar University,Jaipur,Rajasthan,49
Galgotias University,Gautam Budh Nagar,Uttar Pradesh,50
Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur,Maharashtra,51
L. M. College of Pharmacy,Ahmedabad,Gujarat,52
G. L. A. University,Mathura,Uttar Pradesh,53
Guru Ghasidas Vishwavidyalaya,Bilaspur,Chhattisgarh,54
Guru Jambheshwar University of Science and Technology,Hisar,Haryana,55
R. C. Patel Institute of Pharmaceutical Education and Research,Shirpur,Maharashtra,56
Amar Shaheed Baba Ajit Singh Jujhar Singh Memorial College,Bela,Punjab,57
PSG College of Pharmacy,Coimbatore,Tamil Nadu,58
