Name,City,State,Rank
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,1
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,2
National Institute of Technology Calicut,Kozhikode,Kerala,3
"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,4
School of Planning and Architecture New Delhi,New Delhi,Delhi,5
Centre for Environmental Planning and Technology University,Ahmedabad,Gujarat,6
Jamia Millia Islamia,New Delhi,Delhi,7
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,8
National Institute of Technology Rourkela,Rourkela,Odisha,9
Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,10
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,11
School of Planning and Architecture Bhopal,Bhopal,Madhya Pradesh,12
Chandigarh University,Mohali,Punjab,13
Aligarh Muslim University,Aligarh,Uttar Pradesh,14
Malaviya National Institute of Technology,Jaipur,Rajasthan,15
School of Planning and Architecture Vijayawada,Vijayawada,Andhra Pradesh,16
Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,17
"College of Engineering, Trivandrum",Thiruvananthapuram,Kerala,18
Nirma University,Ahmedabad,Gujarat,19
Birla Institute of Technology,Ranchi,Jharkhand,20
M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,21
Dr. M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,22
BMS College of Architecture,Bengaluru,Karnataka,23
Lovely Professional University,Phagwara,Punjab,24
Thiagarajar College of Engineering,Madurai,Tamil Nadu,25
Amity University,Kolkata,West Bengal,25
National Institute of Technology Patna,Patna,Bihar,27
"Manipal School of Architecture and Planning, MAHE",Udupi,Karnataka,28
Guru Gobind Singh Indraprastha University,New Delhi,Delhi,29
Chandigarh College of Architecture,Chandigarh,Chandigarh,30
Shri Mata Vaishno Devi University,Katra,Jammu and Kashmir,31
National Institute of Technology Hamirpur,Hamirpur,Himachal Pradesh,32
"Manipal University, Jaipur",Jaipur,Rajasthan,33
Anna University,Chennai,Tamil Nadu,34
Chitkara University,Rajpura,Punjab,35
National Institute of Technology Raipur,Raipur,Chhattisgarh,36
Anant National University,Ahmedabad,Gujarat,37
"BMS School of Architecture, Yelahanka",Bengaluru,Karnataka,38
Gandhi Institute of Technology and Management,Visakhapatnam,Andhra Pradesh,39
B. S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,Tamil Nadu,40
