Name,City,State,Rank
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,1
"Manipal College of Dental Sciences, Manipal",Manipal,Karnataka,2
Maulana Azad Institute of Dental Sciences,Delhi,Delhi,3
King George`s Medical University,Lucknow,Uttar Pradesh,4
Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,5
A.B.Shetty Memorial Institute of Dental Sciences,Mangaluru,Karnataka,6
SRM Dental College,Chennai,Tamil Nadu,7
Jamia Millia Islamia,New Delhi,Delhi,8
Siksha `O` Anusandhan,Bhubaneswar,Odisha,9
Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,10
"Manipal College of Dental Sciences, Mangalore",Mangaluru,Karnataka,11
JSS Dental College and Hospital,Mysuru,Karnataka,12
Meenakshi Academy of Higher Education and Research,Chennai,Tamil Nadu,13
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,14
"Govt. Dental College, Nagpur",Nagpur,Maharashtra,15
M. S. Ramaiah University of Applied Sciences,Bengaluru,Karnataka,16
Banaras Hindu University,Varanasi,Uttar Pradesh,17
Aligarh Muslim University,Aligarh,Uttar Pradesh,18
"Government Dental College, Bangalore",Bengaluru,Karnataka,19
Dr. M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,20
Government Dental College,Thiruvananthapuram,Kerala,21
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,22
Postgraduate Institute of Dental Sciences,Rohtak,Haryana,23
Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,24
Govt. Dental College,Mumbai,Maharashtra,25
Yenepoya Dental College,Mangaluru,Karnataka,26
Panjab University,Chandigarh,Chandigarh,27
Nair Hospital Dental College,Mumbai,Maharashtra,28
KLE Vishwanath Katti Institute of Dental Sciences,Belgaum,Karnataka,29
Christian Dental College,Ludhiana,Punjab,30
SDM College of Dental Sciences & Hospital,Dharwad,Karnataka,31
SRM Kattankulathur Dental College,Chennai,Tamil Nadu,32
Chettinad Dental College and Research Institute,Kelambakkam,Tamil Nadu,33
Government Dental College,Ahmedabad,Gujarat,34
Mahatma Gandhi P. G. Institute of Dental Sciences,Pondicherry,Pondicherry,35
Bharati Vidyapeeth (Deemed to be University) Dental College and Hospital,Pune,Maharashtra,36
Bapuji Dental College & Hospital,Davangere,Karnataka,37
Manav Rachna International Institute of Research and Studies,Faridabad,Haryana,38
"Adhiparasakthi Dental College and Hospital, Kancheepuram",Melmaruvathur,Tamil Nadu,39
Army College of Dental Sciences,Secunderabad,Telangana,40
