Name,City,State,Rank
National Law School of India University,Bengaluru,Karnataka,1
National Law University,New Delhi,Delhi,2
Nalsar University of Law,Hyderabad,Telangana,3
The West Bengal National University of Juridical Sciences,Kolkata,West Bengal,4
Symbiosis Law School,Pune,Maharashtra,5
Jamia Millia Islamia,New Delhi,Delhi,6
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,7
Gujarat National Law University,Gandhinagar,Gujarat,8
Siksha `O` Anusandhan,Bhubaneswar,Odisha,9
Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,10
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,11
Aligarh Muslim University,Aligarh,Uttar Pradesh,12
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,13
Shanmugha Arts Science Technology and Research Academy,Thanjavur,Tamil Nadu,14
Christ University,Bengaluru,Karnataka,15
Dr. B. R. Ambedkar College of Law,Visakhapatnam,Andhra Pradesh,16
Guru Gobind Singh Indraprastha University,New Delhi,Delhi,17
Alliance University,Bengaluru,Karnataka,18
Lovely Professional University,Phagwara,Punjab,19
Dr. Ram Manohar Lohiya National Law University,Lucknow,Uttar Pradesh,20
"National Law Institute University, Bhopal",Bhopal,Madhya Pradesh,21
National University of Study and Research in Law,Ranchi,Jharkhand,22
University of Lucknow,Lucknow,Uttar Pradesh,23
The Rajiv Gandhi National University of Law,Patiala,Punjab,24
Banaras Hindu University,Varanasi,Uttar Pradesh,25
"National Law University, Cuttack",Cuttack,Odisha,26
National Law University and Judicial Academy,Kamrup,Assam,27
UPES,Dehradun,Uttarakhand,28
"Manipal University, Jaipur",Jaipur,Rajasthan,29
Army Institute of Law,Mohali,Punjab,30
Chanakya National Law University,Patna,Bihar,31
Maharashtra National Law University Mumbai,Mumbai,Maharashtra,31
"Amity University Haryana, Gurgaon","Gurugram, Haryana",Haryana,33
"Maharashtra National Law University, Nagpur",Nagpur,Maharashtra,34
Indian Law Institute,New Delhi,Delhi,35
"ICFAI Foundation for Higher Education, Hyderabad",Hyderabad,Telangana,36
Gandhi Institute of Technology and Management,Visakhapatnam,Andhra Pradesh,37
National University of Advanced Legal Studies (NUALS),Kochi,Kerala,38
Damodaram Sanjivayya National Law University,Visakhapatnam,Andhra Pradesh,39
Amity University,Kolkata,West Bengal,40
